city,state,Correction,Census_Name,State
Muskogee,OK,Correction needed,Muskogee city, Oklahoma
Gunlock,KY,No close match found,,
Maricopa,AZ,Correction needed,Maricopa city, Arizona
Weymouth,MA,No close match found,,
Scottsdale,AZ,Correction needed,Scottsdale city, Arizona
Derry,NH,Correction needed,Derry CDP, New Hampshire
St. Louis,MO,Correction needed,St. Louis city, Missouri
Chapeno,TX,Correction needed,Chapeno CDP, Texas
Hemet,CA,No close match found,,
Longview,TX,Correction needed,Longview city, Texas
Sierra Blanca,TX,Correction needed,Sierra Blanca CDP, Texas
Austin,TX,Correction needed,Austin city, Texas
Levelland,TX,Correction needed,Levelland city, Texas
Fort Lauderdale,FL,Correction needed,Fort Lauderdale city, Florida
Baltimore,MD,Correction needed,Baltimore city, Maryland
Rexburg,ID,Correction needed,Rexburg city, Idaho
Winslow,NJ,No close match found,,
Pueblo,CO,Correction needed,Pueblo city, Colorado
Wasco,CA,No close match found,,
Tahoka,TX,Correction needed,Tahoka city, Texas
New Hope,MN,Correction needed,New Hope city, Minnesota
Denver,CO,Correction needed,Denver city, Colorado
Morenci,AZ,Correction needed,Morenci CDP, Arizona
Phoenix,AZ,Correction needed,Phoenix city, Arizona
Omaha,NE,No close match found,,
Rosenberg,TX,Correction needed,Rosenberg city, Texas
Sunset,TX,No close match found,,
Stillwater,OK,Correction needed,Stillwater city, Oklahoma
Wyoming,MI,Correction needed,Wyoming city, Michigan
Billings,MT,Correction needed,Billings city, Montana
Randallstown,MD,Correction needed,Randallstown CDP, Maryland
Houston,TX,Correction needed,Emhouse town, Texas
Bay City,MI,Correction needed,Wayne city, Michigan
Apple Valley,CA,Correction needed,Apple Valley town, California
Hummelstown,PA,Correction needed,Hummelstown borough, Pennsylvania
Douglas,GA,Correction needed,Douglas city, Georgia
Antioch,CA,Correction needed,Antioch city, California
Emeryville,CA,Correction needed,Emeryville city, California
Memphis,TN,Correction needed,Memphis city, Tennessee
Lorena,TX,Correction needed,Lorena city, Texas
Tempe,AZ,No close match found,,
Orlando,FL,Correction needed,Orlando city, Florida
Tallahassee,FL,Correction needed,Tallahassee city, Florida
Chino,CA,No close match found,,
Oklahoma City,OK,Correction needed,Oklahoma City city, Oklahoma
Gastonia,NC,Correction needed,Gastonia city, North Carolina
Calimesa,CA,Correction needed,Calimesa city, California
Nocona,TX,Correction needed,Nocona city, Texas
Orange County,FL,No close match found,,
New City,NY,Correction needed,New City CDP, New York
Anchorage,AK,No close match found,,
Dallas,TX,Correction needed,Dallas city, Texas
Smyrna,ME,No close match found,,
New Castle,CO,Correction needed,New Castle town, Colorado
Whitehaven,TN,No close match found,,
Pasco,WA,No close match found,,
Dadeville,AL,Correction needed,Dadeville city, Alabama
San Jose,CA,Correction needed,San Jose city, California
San Manuel,AZ,Correction needed,San Manuel CDP, Arizona
McLemoresville,TN,Correction needed,McLemoresville town, Tennessee
Reading,PA,Correction needed,Reading city, Pennsylvania
Kansas City,KS,Correction needed,Kansas City city, Kansas
San Bernardino,CA,Correction needed,San Bernardino city, California
Laredo,TX,Correction needed,Laredo city, Texas
Essex,MD,Correction needed,Essex CDP, Maryland
Colton,OR,No close match found,,
Iuka,MS,No close match found,,
Miami Gardens,FL,Correction needed,Miami Gardens city, Florida
Provo,UT,No close match found,,
Boise,ID,No close match found,,
Marana,AZ,Correction needed,Marana town, Arizona
Del Rio,TX,Correction needed,Del Rio city, Texas
Tewksbury,MA,No close match found,,
Eaton Rapids Township,MI,Correction needed,Eaton Rapids city, Michigan
Springfield,MO,Correction needed,Springfield city, Missouri
Gaston County,NC,Correction needed,Gaston town, North Carolina
Charlotte,NC,Correction needed,Charlotte city, North Carolina
Birmingham,AL,Correction needed,Birmingham city, Alabama
Homewood,AL,Correction needed,Homewood city, Alabama
Euless,TX,Correction needed,Euless city, Texas
Ruidoso,NM,No close match found,,
Palm Bay,FL,Correction needed,Palm Bay city, Florida
Allentown,PA,Correction needed,Allentown city, Pennsylvania
Millbrook,AL,Correction needed,Millbrook city, Alabama
Clarkesville,GA,Correction needed,Clarkesville city, Georgia
Powder Springs,GA,Correction needed,Powder Springs city, Georgia
Denham Springs,LA,Correction needed,Denham Springs city, Louisiana
Green Bay,WI,Correction needed,Green Bay city, Wisconsin
Las Vegas,NV,Correction needed,Las Vegas city, Nevada
Sylvester,GA,Correction needed,Sylvester city, Georgia
Gulfport,MS,Correction needed,Gulfport city, Mississippi
Lakeland,FL,Correction needed,Lakeland city, Florida
Terre Haute,IN,Correction needed,Terre Haute city, Indiana
Santa Ana,CA,Correction needed,Santa Ana city, California
La Paz County,AZ,No close match found,,
Tarboro,NC,Correction needed,Tarboro town, North Carolina
Columbia,MO,Correction needed,Columbia city, Missouri
Tucson,AZ,Correction needed,Tucson city, Arizona
Roxand Township,MI,No close match found,,
Pelzer,SC,Correction needed,Pelzer town, South Carolina
Barton,MS,No close match found,,
Joliet,IL,Correction needed,Joliet city, Illinois
Salisbury,MD,Correction needed,Salisbury city, Maryland
Deltona,FL,Correction needed,Deltona city, Florida
Lincoln,NE,Correction needed,Lincoln city, Nebraska
Burbank,CA,Correction needed,Burbank CDP, California
Milwaukee,WI,Correction needed,Milwaukee city, Wisconsin
Putnam Hall,FL,No close match found,,
Madison,WI,Correction needed,Madison city, Wisconsin
Claymont,DE,Correction needed,Claymont CDP, Delaware
Anaheim,CA,Correction needed,Anaheim city, California
Cocoa,FL,No close match found,,
Dinosaur,CO,Correction needed,Dinosaur town, Colorado
Brevard,NC,Correction needed,Brevard city, North Carolina
Atlanta,GA,Correction needed,Atlanta city, Georgia
Ontario,CA,Correction needed,Ontario city, California
Port Wentworth,GA,Correction needed,Port Wentworth city, Georgia
Baton Rouge,LA,Correction needed,Baton Rouge city, Louisiana
Cleveland,OH,Correction needed,Cleveland city, Ohio
Hoover,AL,Correction needed,Hoover city, Alabama
Bay Minette,AL,Correction needed,Bay Minette city, Alabama
Kingman,AZ,Correction needed,Kingman city, Arizona
Elkton,MD,Correction needed,Elkton town, Maryland
Washington,DC,Correction needed,Washington city, District of Columbia
Walnut Creek,CA,Correction needed,Walnut Creek city, California
Fontana,CA,Correction needed,Fontana city, California
Kansas City,MO,Correction needed,Kansas City city, Missouri
Napa,CA,No close match found,,
San Antonio,TX,Correction needed,San Antonio city, Texas
Kenosha,WI,Correction needed,Kenosha city, Wisconsin
Follansbee,WV,Correction needed,Follansbee city, West Virginia
Ruth,MS,No close match found,,
Sacramento,CA,Correction needed,Sacramento city, California
Onalaska,TX,Correction needed,Onalaska city, Texas
Dublin,NC,Correction needed,Dublin town, North Carolina
Medford,OR,Correction needed,Medford city, Oregon
Bakersfield,CA,Correction needed,Bakersfield city, California
Glendale,AZ,Correction needed,Glendale city, Arizona
Sumas,WA,No close match found,,
Jacksonville,FL,Correction needed,Jacksonville city, Florida
Middleton,ID,Correction needed,Middleton city, Idaho
Lawrence County,AL,No close match found,,
Red Valley,AZ,No close match found,,
Coal County,OK,No close match found,,
Harmony,IN,Correction needed,Harmony town, Indiana
Clarendon,NY,No close match found,,
Cottonwood,AZ,Correction needed,Cottonwood CDP, Arizona
Islip,NY,Correction needed,Islip CDP, New York
Portland,OR,Correction needed,Portland city, Oregon
Vallejo,CA,Correction needed,Vallejo city, California
Santa Clara,CA,Correction needed,Santa Clara city, California
Fond du Lac,WI,Correction needed,Fond du Lac city, Wisconsin
Portsmouth,VA,Correction needed,Portsmouth city, Virginia
South Los Angeles,CA,Correction needed,East Los Angeles CDP, California
Johnsonville,SC,Correction needed,Johnsonville city, South Carolina
Smyrna,GA,Correction needed,Smyrna city, Georgia
Wilmington,CA,No close match found,,
Gardner,KS,Correction needed,Gardner city, Kansas
Webster,MA,Correction needed,Webster CDP, Massachusetts
Fort Pierce,FL,Correction needed,Fort Pierce city, Florida
Encinitas,CA,Correction needed,Encinitas city, California
Boston,MA,Correction needed,Boston city, Massachusetts
Fort Ashby,WV,Correction needed,Fort Ashby CDP, West Virginia
Oxnard,CA,Correction needed,Oxnard city, California
Jasper,OH,No close match found,,
Elizabethtown,KY,Correction needed,Elizabethtown city, Kentucky
Eugene,OR,Correction needed,Eugene city, Oregon
Boulder City,NV,Correction needed,Boulder City city, Nevada
Fort Meade,MD,Correction needed,Fort Meade CDP, Maryland
Baytown,TX,Correction needed,Alba town, Texas
Carollwood,FL,Correction needed,Carrollwood CDP, Florida
Hamilton,NJ,No close match found,,
Hawthorne,CA,Correction needed,Hawthorne city, California
Pineville,LA,Correction needed,Pineville city, Louisiana
Tulsa,OK,No close match found,,
Metropolis,IL,Correction needed,Metropolis city, Illinois
Rock Island,IL,Correction needed,Rock Island city, Illinois
Winchester,VA,Correction needed,Winchester city, Virginia
Edgewood,NM,Correction needed,Edgewood town, New Mexico
Orange,CA,Correction needed,Orange city, California
North Charleston,SC,Correction needed,North Charleston city, South Carolina
Zion,IL,No close match found,,
Tehachapi,CA,Correction needed,Tehachapi city, California
Jefferson County,ID,No close match found,,
Harvey,LA,Correction needed,Harvey CDP, Louisiana
Pottawatomie County,OK,No close match found,,
Sunnyvale,CA,Correction needed,Sunnyvale city, California
Valdosta,GA,Correction needed,Valdosta city, Georgia
Kellyville,OK,Correction needed,Kellyville town, Oklahoma
Boiling Springs,SC,Correction needed,Boiling Springs CDP, South Carolina
Straban Township,PA,Correction needed,Strabane CDP, Pennsylvania
Monon,IN,No close match found,,
Navarre,FL,Correction needed,Navarre CDP, Florida
Topeka,KS,Correction needed,Topeka city, Kansas
Corning,CA,Correction needed,Corning city, California
Sand Springs,OK,Correction needed,Sand Springs city, Oklahoma
Salemburg,NC,Correction needed,Salemburg town, North Carolina
Alton,IL,No close match found,,
Jonesboro,AR,Correction needed,Jonesboro city, Arkansas
DeSoto,TX,Correction needed,DeSoto city, Texas
Montclair,CA,Correction needed,Montclair city, California
Cañon City,CO,Correction needed,Cañon City city, Colorado
Spartanburg,SC,Correction needed,Spartanburg city, South Carolina
Miami,FL,No close match found,,
Shafter,CA,Correction needed,Shafter city, California
Jennings,MO,Correction needed,Jennings city, Missouri
Chicago,IL,Correction needed,Chicago city, Illinois
Panama City,FL,Correction needed,Panama City city, Florida
Sidney,NE,Correction needed,Sidney city, Nebraska
Wilmore,KY,Correction needed,Wilmore city, Kentucky
Mission,TX,Correction needed,Mission city, Texas
Trenton,NJ,Correction needed,Trenton city, New Jersey
Irmo,SC,No close match found,,
Lakewood,WA,Correction needed,Lakewood city, Washington
Eldorado Springs,CO,Correction needed,Eldorado Springs CDP, Colorado
Queens,NY,No close match found,,
Bisbee,AZ,Correction needed,Bisbee city, Arizona
Long Beach,CA,Correction needed,Long Beach city, California
Rufe,OK,No close match found,,
Sylmar,CA,No close match found,,
Trinidad,CO,Correction needed,Trinidad city, Colorado
Miami,OK,No close match found,,
Windsor,CA,Correction needed,Windsor town, California
Clermont,FL,Correction needed,Clermont city, Florida
New York,NY,Correction needed,New York city, New York
Victoria,TX,Correction needed,Victoria city, Texas
Fountain Valley,CA,Correction needed,Fountain Valley city, California
Kings County,CA,No close match found,,
Bunch,OK,Correction needed,Bunch CDP, Oklahoma
Detroit,MI,Correction needed,Detroit city, Michigan
Marion,IL,Correction needed,Marion city, Illinois
Mansfield,OH,Correction needed,Mansfield city, Ohio
Nashville,TN,No close match found,,
Emporia,VA,Correction needed,Emporia city, Virginia
Elk Grove,CA,Correction needed,Elk Grove city, California
Mesa,AZ,No close match found,,
Chickasha,OK,Correction needed,Chickasha city, Oklahoma
San Diego,CA,Correction needed,San Diego city, California
Smyrna,DE,Correction needed,Smyrna town, Delaware
Chavies,KY,No close match found,,
Garland,TX,Correction needed,Garland city, Texas
Roosevelt,UT,Correction needed,Roosevelt city, Utah
Alvin,TX,No close match found,,
Kennewick,WA,Correction needed,Kennewick city, Washington
Pulaski,VA,Correction needed,Pulaski town, Virginia
South El Monte,CA,Correction needed,South El Monte city, California
Venice,CA,No close match found,,
Wake Forest,NC,Correction needed,Wake Forest town, North Carolina
Cerritos,CA,Correction needed,Cerritos city, California
Beacon,NY,Correction needed,Beacon city, New York
Lawrenceville,GA,Correction needed,Lawrenceville city, Georgia
Fridley,MN,Correction needed,Fridley city, Minnesota
Constantia,NY,Correction needed,Constantia CDP, New York
Kearny,AZ,Correction needed,Kearny town, Arizona
Landover,MD,Correction needed,Landover CDP, Maryland
Tacoma,WA,Correction needed,Tacoma city, Washington
St. Augustine,FL,Correction needed,St. Augustine city, Florida
Rancho Santa Margarita,CA,Correction needed,Rancho Santa Margarita city, California
Honolulu,HI,No close match found,,
Portage,MI,Correction needed,Portage city, Michigan
Rockford,IL,Correction needed,Rockford city, Illinois
Harvey,IL,Correction needed,Harvey city, Illinois
St. Petersburg,FL,Correction needed,St. Petersburg city, Florida
Grand Junction,CO,Correction needed,Grand Junction city, Colorado
Cabot,AR,No close match found,,
Arlington,VA,Correction needed,Arlington CDP, Virginia
Gillette,WY,Correction needed,Gillette city, Wyoming
Owensboro,KY,Correction needed,Owensboro city, Kentucky
Green,OH,No close match found,,
Lancaster,PA,Correction needed,Lancaster city, Pennsylvania
Charleston,SC,Correction needed,Charleston city, South Carolina
Hackensack,NJ,Correction needed,Hackensack city, New Jersey
Ft. Lauderdale,FL,Correction needed,Fort Lauderdale city, Florida
Somerset,PA,No close match found,,
Eagar,AZ,No close match found,,
Sedalia,MO,Correction needed,Sedalia city, Missouri
Huntsville,AL,Correction needed,Huntsville city, Alabama
Snohomish,WA,Correction needed,Snohomish city, Washington
Bossier City,LA,Correction needed,Bossier City city, Louisiana
Alpine,CA,Correction needed,Alpine CDP, California
Rockville,GA,No close match found,,
Edmond,OK,Correction needed,Edmond city, Oklahoma
Ideal Beach,NJ,No close match found,,
Trenton,MI,Correction needed,Trenton city, Michigan
Carrollton,GA,Correction needed,Carrollton city, Georgia
Northglenn,CO,Correction needed,Northglenn city, Colorado
Lancaster,SC,Correction needed,Lancaster city, South Carolina
Wilderville,OR,No close match found,,
Okmulgee County,OK,Correction needed,Okmulgee city, Oklahoma
Lyndhurst,NJ,No close match found,,
Palestine,TX,Correction needed,Palestine city, Texas
Greece,NY,Correction needed,Greece CDP, New York
Azle,TX,No close match found,,
Roslindale,MA,No close match found,,
Los Lunas,NM,No close match found,,
Delano,CA,Correction needed,Delano city, California
Byram,NJ,No close match found,,
Fuqua,TX,No close match found,,
Ellis County,TX,No close match found,,
Morgantown,WV,Correction needed,Morgantown city, West Virginia
Santa Maria,CA,Correction needed,Santa Maria city, California
Strasburg,CO,Correction needed,Strasburg CDP, Colorado
Midland,TX,Correction needed,Midland city, Texas
Watsonsville,CA,Correction needed,Watsonville city, California
North Port,FL,Correction needed,North Port city, Florida
Oakland,CA,Correction needed,Oakland city, California
Woodland,WA,Correction needed,Woodland city, Washington
Melbourne,FL,Correction needed,Melbourne city, Florida
Sun City,AZ,Correction needed,Sun City CDP, Arizona
Beech Grove,IN,Correction needed,Beech Grove city, Indiana
Cincinnati,OH,Correction needed,Cincinnati city, Ohio
Tomball,TX,Correction needed,Tomball city, Texas
Findlay,OH,Correction needed,Findlay city, Ohio
Bronx,NY,No close match found,,
Bexar County,TX,No close match found,,
Columbia,TN,Correction needed,Columbia city, Tennessee
Pompano Beach,FL,Correction needed,Pompano Beach city, Florida
Kokomo,IN,Correction needed,Kokomo city, Indiana
Hutchins,TX,Correction needed,Hutchins city, Texas
Louisville,KY,No close match found,,
Fort Wayne,IN,Correction needed,Fort Wayne city, Indiana
South Lake Tahoe,CA,Correction needed,South Lake Tahoe city, California
Wood Lake,ND,No close match found,,
Visalia,CA,Correction needed,Visalia city, California
Hobbs,NM,No close match found,,
Clanton,AL,Correction needed,Clanton city, Alabama
Coney Island,NY,No close match found,,
Greeley,CO,Correction needed,Greeley city, Colorado
Azusa,CA,No close match found,,
Pittsburgh,PA,Correction needed,Pittsburgh city, Pennsylvania
Augusta,GA,No close match found,,
Citrus Heights,CA,Correction needed,Citrus Heights city, California
Ronda,NC,No close match found,,
Weatherford,TX,Correction needed,Weatherford city, Texas
Hutchinson,KS,Correction needed,Hutchinson city, Kansas
York County,VA,No close match found,,
Fresno,CA,Correction needed,Fresno city, California
Owings Mills,MD,Correction needed,Owings Mills CDP, Maryland
Malone,NY,No close match found,,
Tahlequah,OK,Correction needed,Tahlequah city, Oklahoma
Edinburg,NY,No close match found,,
Franklin,NC,Correction needed,Franklin town, North Carolina
Josephine County,OR,Correction needed,Joseph city, Oregon
McMinnville,OR,Correction needed,McMinnville city, Oregon
Meadow Bridge,WV,Correction needed,Meadow Bridge town, West Virginia
Brockton,MA,Correction needed,Brockton city, Massachusetts
Miami Beach,FL,Correction needed,Miami Beach city, Florida
Camden,NJ,Correction needed,Camden city, New Jersey
Lancaster,CA,Correction needed,Lancaster city, California
West Covina,CA,Correction needed,West Covina city, California
Henderson,NV,Correction needed,Henderson city, Nevada
Newport News,VA,Correction needed,Newport News city, Virginia
Morristown,TN,Correction needed,Morrison town, Tennessee
Hawaiian Gardens,CA,Correction needed,Hawaiian Gardens city, California
Pleasanton,CA,Correction needed,Pleasanton city, California
Lakewood,CA,Correction needed,Lakewood city, California
Atwater,CA,Correction needed,Atwater city, California
Bath,NH,No close match found,,
Sugar Creek,MO,Correction needed,Sugar Creek city, Missouri
Atlantic City,NJ,Correction needed,Atlantic City city, New Jersey
Edinburg,TX,Correction needed,Edinburg city, Texas
Ashe County,NC,No close match found,,
Beaverton,OR,Correction needed,Beaverton city, Oregon
Boulder Creek,CA,Correction needed,Boulder Creek CDP, California
Parowan,UT,Correction needed,Parowan city, Utah
Covington,GA,Correction needed,Covington city, Georgia
Olivehurst,CA,Correction needed,Olivehurst CDP, California
Casper,WY,Correction needed,Casper city, Wyoming
River Forest,IL,Correction needed,River Forest village, Illinois
Plantation,FL,Correction needed,Plantation CDP, Florida
Lynn,MA,No close match found,,
Dunsmuir,CA,Correction needed,Dunsmuir city, California
Stone Mountain,GA,Correction needed,Stone Mountain city, Georgia
Southington,OH,No close match found,,
Mascotte,FL,Correction needed,Mascotte city, Florida
Marion,MI,No close match found,,
Opp,AL,No close match found,,
Cheyenne,WY,Correction needed,Cheyenne city, Wyoming
Chattanooga,TN,Correction needed,Chattanooga city, Tennessee
Homestead,FL,Correction needed,Homestead city, Florida
Wauwatosa,WI,Correction needed,Wauwatosa city, Wisconsin
Moreno Valley,CA,Correction needed,Moreno Valley city, California
Brownsville,TX,Correction needed,Brownsville city, Texas
Needles,CA,Correction needed,Needles city, California
Seattle,WA,Correction needed,Seattle city, Washington
Colby,KS,No close match found,,
Fort Collins,CO,Correction needed,Fort Collins city, Colorado
Mt. Auburn,OH,No close match found,,
Winnie,TX,Correction needed,Winnie CDP, Texas
Jesup,GA,No close match found,,
Oakland Park,FL,Correction needed,Oakland Park city, Florida
White,GA,No close match found,,
Philadelphia,PA,Correction needed,Philadelphia city, Pennsylvania
Monroe,WI,Correction needed,Monroe city, Wisconsin
Meadow Vista,CA,Correction needed,Meadow Vista CDP, California
Douglas,WY,Correction needed,Douglas city, Wyoming
Myrtle Beach,SC,Correction needed,Myrtle Beach city, South Carolina
Plymouth,MN,Correction needed,Plymouth city, Minnesota
Dayton,OH,Correction needed,Dayton city, Ohio
Pinnacle,NC,Correction needed,Pinnacle CDP, North Carolina
Studio City,CA,Correction needed,Dixon city, California
Micanopy,FL,Correction needed,Micanopy town, Florida
Decatur,GA,Correction needed,Decatur city, Georgia
Seneca,SC,Correction needed,Seneca city, South Carolina
Shreveport,LA,Correction needed,Shreveport city, Louisiana
Boulder,CO,Correction needed,Boulder city, Colorado
Houma,LA,No close match found,,
Manila,AR,Correction needed,Manila city, Arkansas
Logan,UT,No close match found,,
Las Cruces,NM,Correction needed,Las Cruces city, New Mexico
Whittier,CA,Correction needed,Whittier city, California
Gardnerville Ranchos,NV,Correction needed,Gardnerville Ranchos CDP, Nevada
Roswell,NM,Correction needed,Roswell city, New Mexico
Nitro,WV,No close match found,,
Muncie,IN,Correction needed,Muncie city, Indiana
Powhatan County,VA,Correction needed,Powhatan CDP, Virginia
Campbelltown,PA,Correction needed,Campbelltown CDP, Pennsylvania
Rantoul,IL,No close match found,,
San Diego County,CA,Correction needed,San Diego city, California
Antioch,TN,No close match found,,
Richmond,VA,Correction needed,Richmond city, Virginia
Maui,HI,No close match found,,
Greenfield,WI,Correction needed,Greenfield city, Wisconsin
Elsmere,KY,Correction needed,Elsmere city, Kentucky
Greenville,NC,Correction needed,Greenville city, North Carolina
Superior,MT,Correction needed,Superior town, Montana
Arlington,TX,Correction needed,Arlington city, Texas
Spokane,WA,Correction needed,Spokane city, Washington
Summerville,SC,Correction needed,Summerville town, South Carolina
Brookshire,TX,Correction needed,Brookshire city, Texas
Pittston,PA,Correction needed,Pittston city, Pennsylvania
Ardmore,OK,Correction needed,Ardmore city, Oklahoma
Gilbert,AZ,Correction needed,Gilbert town, Arizona
Waco,TX,No close match found,,
Sandpoint,ID,Correction needed,Sandpoint city, Idaho
Toledo,OH,Correction needed,Toledo city, Ohio
Odessa,TX,Correction needed,Odessa city, Texas
Bolton,CT,No close match found,,
District Heights,MD,Correction needed,District Heights city, Maryland
Boerne,TX,Correction needed,Boerne city, Texas
Staten Island,NY,No close match found,,
Carson City,NV,No correction,Carson City, Nevada
Inyokern,CA,Correction needed,Inyokern CDP, California
Hanover,IN,Correction needed,Hanover town, Indiana
Kerrville,TX,Correction needed,Kerrville city, Texas
Canton,NC,Correction needed,Candor town, North Carolina
Hunters,WA,No close match found,,
Bloomfield Township,MI,No close match found,,
Beverly,OH,No close match found,,
Tuscaloosa,AL,Correction needed,Tuscaloosa city, Alabama
North East,MD,Correction needed,North East town, Maryland
Grapeview,WA,Correction needed,Grapeview CDP, Washington
King George,VA,Correction needed,King George CDP, Virginia
Troy,NY,No close match found,,
Cohasset,MN,Correction needed,Cohasset city, Minnesota
Archdale,NC,Correction needed,Archdale city, North Carolina
Brick Township,NJ,No close match found,,
Arab,AL,No close match found,,
Thonotosassa,FL,Correction needed,Thonotosassa CDP, Florida
West Chester,PA,Correction needed,West Chester borough, Pennsylvania
Santa Fe,NM,Correction needed,Santa Fe city, New Mexico
West Jordan,UT,Correction needed,West Jordan city, Utah
Hendersonville,TN,Correction needed,Hendersonville city, Tennessee
Mount Vernon,NY,Correction needed,Mount Vernon city, New York
Spanish Fork,UT,Correction needed,Spanish Fork city, Utah
Cushing,OK,Correction needed,Cushing city, Oklahoma
Loveland,CO,Correction needed,Loveland city, Colorado
Artesia,NM,Correction needed,Artesia city, New Mexico
Twinsburg,OH,Correction needed,Twinsburg city, Ohio
Bluefield,WV,Correction needed,Bluefield city, West Virginia
Prescott,AZ,Correction needed,Prescott city, Arizona
Merrimack,NH,No close match found,,
Springtown,TX,Correction needed,Springlake town, Texas
Weitchpec,CA,Correction needed,Weitchpec CDP, California
French Lick,IN,Correction needed,French Lick town, Indiana
Mitchell,SD,Correction needed,Mitchell city, South Dakota
Virginia Beach,VA,Correction needed,Virginia Beach city, Virginia
Durham,NC,Correction needed,Durham city, North Carolina
Little Havana,FL,No close match found,,
Fairbanks,AK,Correction needed,Fairbanks city, Alaska
El Monte,CA,Correction needed,El Monte city, California
Ashwaubenon,WI,Correction needed,Ashwaubenon village, Wisconsin
Downey,CA,Correction needed,Downey city, California
Lodi,CA,No close match found,,
Potsdam,NY,No close match found,,
Broomfield,CO,Correction needed,Broomfield city, Colorado
Chester,PA,Correction needed,Chester city, Pennsylvania
West Knox,TN,No close match found,,
Sylacauga,AL,Correction needed,Sylacauga city, Alabama
Clute,TX,No close match found,,
McAlester,OK,Correction needed,McAlester city, Oklahoma
Wellman,IA,Correction needed,Wellman city, Iowa
Barstow,CA,Correction needed,Barstow city, California
Princeton,KY,Correction needed,Princeton city, Kentucky
Alexandria,LA,Correction needed,Alexandria city, Louisiana
Panorama City,CA,Correction needed,Arcata city, California
Chalmette,LA,Correction needed,Chalmette CDP, Louisiana
Lead,SD,No close match found,,
Brodhead,KY,Correction needed,Brodhead city, Kentucky
Beaverton,MI,Correction needed,Beaverton city, Michigan
Dickson,TN,Correction needed,Dickson city, Tennessee
Washington County,AL,No close match found,,
Slidell,LA,Correction needed,Slidell city, Louisiana
Shelbyville,IN,Correction needed,Shelbyville city, Indiana
Harrisonburg,VA,Correction needed,Harrisonburg city, Virginia
Auburndale,FL,Correction needed,Auburndale city, Florida
Barberville,FL,No close match found,,
Paris,TX,No close match found,,
Sand City,CA,Correction needed,Orland city, California
Happy Valley,CA,Correction needed,Happy Valley CDP, California
Niceville,FL,Correction needed,Niceville city, Florida
Wilmington,DE,Correction needed,Wilmington city, Delaware
Grayson County,VA,No close match found,,
Reisterstown,MD,Correction needed,Reisterstown CDP, Maryland
McKinney,TX,Correction needed,McKinney city, Texas
Fountain,CO,Correction needed,Fountain city, Colorado
Wilhoit,AZ,Correction needed,Wilhoit CDP, Arizona
Akron,OH,No close match found,,
Lovington,NM,Correction needed,Lovington city, New Mexico
Ponder,TX,Correction needed,Ponder town, Texas
Rossville,GA,Correction needed,Rossville city, Georgia
San Ysidro,CA,No close match found,,
Mora,MN,No close match found,,
Rapid City,SD,Correction needed,Rapid City city, South Dakota
Beckley,WV,Correction needed,Beckley city, West Virginia
Amarillo,TX,Correction needed,Amarillo city, Texas
Rialto,CA,Correction needed,Rialto city, California
Sierra Vista,AZ,Correction needed,Sierra Vista city, Arizona
Muscle Shoals,AL,Correction needed,Muscle Shoals city, Alabama
Van Nuys,CA,No close match found,,
Midwest City,OK,Correction needed,Midwest City city, Oklahoma
Woodbridge,NJ,Correction needed,Woodbridge CDP, New Jersey
Hurst,TX,No close match found,,
Monterey,CA,Correction needed,Monterey city, California
